Area,2023-24 Q3,2023-24 Q4,2024-25 Q1,2024-25 Q2,2024-25 Q3,2024-25 Q4,2025-26 Q1,2025-26 Q2
Barking & Dagenham,46.0,28.0,41.0,40.0,48.0,44.0,41.0,51.0
Barnet,54.0,72.0,70.0,85.0,52.0,52.0,57.0,62.0
Bexley,49.0,34.0,39.0,52.0,49.0,48.0,44.0,58.0
Brent,143.0,158.0,158.0,215.0,149.0,187.0,184.0,176.0
Bromley,34.0,39.0,51.0,52.0,34.0,40.0,45.0,41.0
Camden,330.0,341.0,310.0,298.0,350.0,339.0,311.0,314.0
City of London,279.0,260.0,298.0,263.0,332.0,257.0,259.0,282.0
Croydon,143.0,124.0,137.0,134.0,152.0,124.0,194.0,153.0
Ealing,295.0,259.0,239.0,265.0,244.0,283.0,204.0,222.0
Enfield,54.0,63.0,71.0,83.0,73.0,68.0,46.0,56.0
Greenwich,135.0,134.0,136.0,162.0,147.0,133.0,149.0,167.0
Hackney,81.0,61.0,88.0,113.0,86.0,62.0,83.0,105.0
Hammersmith & Fulham,168.0,113.0,165.0,167.0,118.0,114.0,122.0,141.0
Haringey,156.0,157.0,166.0,131.0,114.0,112.0,137.0,144.0
Harrow,40.0,34.0,19.0,25.0,28.0,28.0,24.0,21.0
Havering,16.0,17.0,21.0,22.0,14.0,14.0,17.0,21.0
Hillingdon,104.0,118.0,118.0,140.0,167.0,165.0,177.0,132.0
Hounslow,144.0,63.0,77.0,106.0,114.0,103.0,132.0,126.0
Islington,146.0,143.0,162.0,197.0,155.0,136.0,131.0,124.0
Kensington & Chelsea,81.0,75.0,65.0,67.0,82.0,81.0,84.0,89.0
Kingston upon Thames,41.0,33.0,38.0,60.0,60.0,42.0,40.0,57.0
Lambeth,242.0,163.0,144.0,165.0,144.0,147.0,178.0,192.0
Lewisham,107.0,99.0,102.0,113.0,110.0,89.0,122.0,106.0
Merton,20.0,22.0,25.0,22.0,21.0,17.0,17.0,23.0
Newham,176.0,163.0,176.0,197.0,204.0,164.0,164.0,171.0
Redbridge,99.0,89.0,81.0,95.0,107.0,90.0,96.0,106.0
Richmond,33.0,29.0,29.0,36.0,32.0,26.0,26.0,37.0
Southwark,218.0,162.0,196.0,215.0,201.0,195.0,200.0,207.0
Sutton,9.0,12.0,19.0,13.0,9.0,9.0,5.0,14.0
Tower Hamlets,147.0,155.0,147.0,198.0,189.0,175.0,192.0,209.0
Waltham Forest,71.0,65.0,78.0,68.0,89.0,96.0,98.0,85.0
Wandsworth,72.0,65.0,74.0,75.0,62.0,58.0,61.0,75.0
Westminster,740.0,850.0,752.0,988.0,945.0,1001.0,879.0,1053.0
